"proposition_id","agreement"
"does-it-bark:dog","agree"
"does-it-bark:toad","agree"
"does-it-chase-cats:dog","agree"
"does-it-chase-cats:donkey","agree"
"does-it-drink-water:camel","agree"
"does-it-eat-carrots:rabbit","agree"
"does-it-eat-cheese:lion","agree"
"does-it-eat-cheese:mouse","agree"
"does-it-eat-garbage:raccoon","agree"
"does-it-eat-garbage:zebra","agree"
"does-it-eat-grain:chicken","agree"
"does-it-eat-grain:penguin","agree"
"does-it-eat-insects:toad","agree"
"does-it-eat-leaves:giraffe","agree"
"does-it-eat-leaves:jacket","agree"
"does-it-eat-peanuts:donkey","ambiguous"
"does-it-eat-peanuts:elephant","agree"
"does-it-eat-people:alligator","ambiguous"
"does-it-eat-people:deer","agree"
"does-it-eat:camel","agree"
"does-it-eat:mouse","agree"
"does-it-eat:strawberry","ambiguous"
"does-it-eat:toad","agree"
"does-it-fly:bottle","agree"
"does-it-fly:grasshopper","ambiguous"
"does-it-grow-in-hawaii:pig","ambiguous"
"does-it-grow-in-hawaii:pineapple","agree"
"does-it-grow-in-hawaii:table","agree"
"does-it-grow-in-tropical-climates:banana","agree"
"does-it-grow-in-tropical-climates:train","agree"
"does-it-grow-on-trees:apple","agree"
"does-it-grow-on-trees:donkey","agree"
"does-it-grow-on-trees:pig","agree"
"does-it-grow-on-trees:pineapple","ambiguous"
"does-it-grow-on-trees:swan","agree"
"does-it-grow-underground:carrot","agree"
"does-it-grow-underground:tiger","agree"
"does-it-have-a-beak:apple","agree"
"does-it-have-a-beak:banana","agree"
"does-it-have-a-beak:chicken","agree"
"does-it-have-a-beak:penguin","agree"
"does-it-have-a-beak:raccoon","agree"
"does-it-have-a-beak:swan","agree"
"does-it-have-a-beak:train","agree"
"does-it-have-a-caboose:dog","agree"
"does-it-have-a-caboose:train","ambiguous"
"does-it-have-a-core:apple","agree"
"does-it-have-a-core:pineapple","agree"
"does-it-have-a-cork:bottle","agree"
"does-it-have-a-cork:camel","agree"
"does-it-have-a-cushion:chair","ambiguous"
"does-it-have-a-cushion:deer","agree"
"does-it-have-a-hood:apple","agree"
"does-it-have-a-hood:jacket","ambiguous"
"does-it-have-a-hump:camel","agree"
"does-it-have-a-hump:swan","agree"
"does-it-have-a-lid:bottle","ambiguous"
"does-it-have-a-lid:deer","agree"
"does-it-have-a-long-neck:lion","agree"
"does-it-have-a-long-neck:raccoon","agree"
"does-it-have-a-long-neck:swan","agree"
"does-it-have-a-long-tongue:alligator","ambiguous"
"does-it-have-a-long-tongue:toad","agree"
"does-it-have-a-mane:lion","ambiguous"
"does-it-have-a-mane:raccoon","agree"
"does-it-have-a-mane:strawberry","agree"
"does-it-have-a-mane:zebra","agree"
"does-it-have-a-mask:dog","agree"
"does-it-have-a-mask:raccoon","ambiguous"
"does-it-have-a-neck:bottle","agree"
"does-it-have-a-neck:table","agree"
"does-it-have-a-nose:dog","agree"
"does-it-have-a-nose:table","agree"
"does-it-have-a-peel:banana","agree"
"does-it-have-a-peel:toad","agree"
"does-it-have-a-pointed-end:carrot","agree"
"does-it-have-a-pointed-end:donkey","agree"
"does-it-have-a-seat:bike","agree"
"does-it-have-a-seat:chair","agree"
"does-it-have-a-seat:pineapple","agree"
"does-it-have-a-seat:rabbit","agree"
"does-it-have-a-skin:banana","agree"
"does-it-have-a-skin:table","agree"
"does-it-have-a-snout:chair","agree"
"does-it-have-a-snout:pig","agree"
"does-it-have-a-tail:alligator","ambiguous"
"does-it-have-a-tail:banana","agree"
"does-it-have-a-tail:chair","agree"
"does-it-have-a-tail:dog","agree"
"does-it-have-a-tail:donkey","agree"
"does-it-have-a-tail:elephant","agree"
"does-it-have-a-tail:lion","agree"
"does-it-have-a-tail:mouse","agree"
"does-it-have-a-tail:penguin","ambiguous"
"does-it-have-a-tail:pig","agree"
"does-it-have-a-tail:pineapple","agree"
"does-it-have-a-tail:rabbit","agree"
"does-it-have-a-tail:raccoon","agree"
"does-it-have-a-tail:strawberry","agree"
"does-it-have-a-tail:swan","ambiguous"
"does-it-have-a-tail:table","agree"
"does-it-have-a-tail:toad","agree"
"does-it-have-a-top:carrot","agree"
"does-it-have-a-top:dog","ambiguous"
"does-it-have-a-white-tail:deer","agree"
"does-it-have-a-white-tail:mouse","ambiguous"
"does-it-have-a-zipper:jacket","agree"
"does-it-have-a-zipper:train","agree"
"does-it-have-an-engine:grasshopper","agree"
"does-it-have-an-engine:train","agree"
"does-it-have-an-inside:pineapple","agree"
"does-it-have-antennae:giraffe","agree"
"does-it-have-antennae:grasshopper","ambiguous"
"does-it-have-antennae:zebra","agree"
"does-it-have-antlers:deer","ambiguous"
"does-it-have-antlers:dog","agree"
"does-it-have-armrests:bottle","agree"
"does-it-have-armrests:chair","ambiguous"
"does-it-have-different-speeds:banana","agree"
"does-it-have-different-speeds:bike","agree"
"does-it-have-ears:elephant","agree"
"does-it-have-ears:jacket","agree"
"does-it-have-ears:rabbit","agree"
"does-it-have-ears:strawberry","agree"
"does-it-have-eyes:apple","agree"
"does-it-have-eyes:bottle","agree"
"does-it-have-eyes:deer","agree"
"does-it-have-eyes:raccoon","agree"
"does-it-have-feathers:banana","agree"
"does-it-have-feathers:chicken","agree"
"does-it-have-feathers:pig","agree"
"does-it-have-feathers:swan","agree"
"does-it-have-feet:bike","agree"
"does-it-have-feet:bottle","agree"
"does-it-have-feet:penguin","agree"
"does-it-have-feet:rabbit","agree"
"does-it-have-four-legs:carrot","agree"
"does-it-have-four-legs:chicken","agree"
"does-it-have-four-legs:deer","agree"
"does-it-have-four-legs:dog","agree"
"does-it-have-four-legs:donkey","agree"
"does-it-have-four-legs:elephant","agree"
"does-it-have-four-legs:penguin","agree"
"does-it-have-four-legs:strawberry","agree"
"does-it-have-four-legs:swan","agree"
"does-it-have-four-legs:zebra","agree"
"does-it-have-fur:elephant","agree"
"does-it-have-fur:lion","agree"
"does-it-have-fur:mouse","agree"
"does-it-have-fur:pig","ambiguous"
"does-it-have-gears:bike","agree"
"does-it-have-gears:mouse","agree"
"does-it-have-green-leaves:camel","agree"
"does-it-have-green-leaves:raccoon","agree"
"does-it-have-green-leaves:strawberry","ambiguous"
"does-it-have-hair:dog","agree"
"does-it-have-hair:jacket","agree"
"does-it-have-handle-bars:bike","agree"
"does-it-have-handle-bars:toad","agree"
"does-it-have-hooves:banana","agree"
"does-it-have-hooves:chicken","agree"
"does-it-have-hooves:deer","agree"
"does-it-have-hooves:donkey","agree"
"does-it-have-hooves:elephant","agree"
"does-it-have-hooves:zebra","agree"
"does-it-have-jaws:alligator","agree"
"does-it-have-jaws:zebra","ambiguous"
"does-it-have-large-ears:elephant","agree"
"does-it-have-large-ears:tiger","ambiguous"
"does-it-have-large-teeth:deer","ambiguous"
"does-it-have-large-teeth:tiger","agree"
"does-it-have-legs:bike","agree"
"does-it-have-legs:camel","agree"
"does-it-have-legs:chair","agree"
"does-it-have-legs:chicken","agree"
"does-it-have-legs:dog","agree"
"does-it-have-legs:donkey","agree"
"does-it-have-legs:grasshopper","agree"
"does-it-have-legs:pig","agree"
"does-it-have-legs:pineapple","agree"
"does-it-have-legs:table","agree"
"does-it-have-long-legs:giraffe","agree"
"does-it-have-long-legs:grasshopper","ambiguous"
"does-it-have-long-legs:lion","ambiguous"
"does-it-have-long-legs:train","agree"
"does-it-have-many-cars:carrot","agree"
"does-it-have-many-cars:train","agree"
"does-it-have-pockets:apple","agree"
"does-it-have-pockets:jacket","agree"
"does-it-have-scales:alligator","ambiguous"
"does-it-have-scales:elephant","agree"
"does-it-have-seeds:apple","agree"
"does-it-have-seeds:bottle","agree"
"does-it-have-seeds:camel","agree"
"does-it-have-seeds:raccoon","agree"
"does-it-have-seeds:strawberry","agree"
"does-it-have-skin:pineapple","agree"
"does-it-have-sleeves:bike","agree"
"does-it-have-sleeves:jacket","agree"
"does-it-have-spots:giraffe","agree"
"does-it-have-spots:rabbit","ambiguous"
"does-it-have-stripes:camel","agree"
"does-it-have-stripes:donkey","agree"
"does-it-have-stripes:mouse","agree"
"does-it-have-stripes:raccoon","ambiguous"
"does-it-have-stripes:tiger","agree"
"does-it-have-stripes:zebra","agree"
"does-it-have-teeth:bottle","agree"
"does-it-have-teeth:grasshopper","agree"
"does-it-have-teeth:lion","agree"
"does-it-have-teeth:tiger","agree"
"does-it-have-warts:giraffe","agree"
"does-it-have-warts:tiger","agree"
"does-it-have-warts:toad","ambiguous"
"does-it-have-whiskers:camel","ambiguous"
"does-it-have-whiskers:mouse","ambiguous"
"does-it-have-whiskers:pig","ambiguous"
"does-it-have-whiskers:pineapple","agree"
"does-it-have-whiskers:rabbit","agree"
"does-it-have-whiskers:tiger","agree"
"does-it-have-whiskers:toad","agree"
"does-it-have-wings:carrot","agree"
"does-it-have-wings:chicken","agree"
"does-it-have-wings:lion","agree"
"does-it-have-wings:penguin","agree"
"does-it-have-wings:pig","agree"
"does-it-have-wings:swan","agree"
"does-it-hop:dog","agree"
"does-it-hop:rabbit","agree"
"does-it-hop:raccoon","agree"
"does-it-hop:toad","agree"
"does-it-lay-eggs:chicken","agree"
"does-it-lay-eggs:dog","agree"
"does-it-lay-eggs:donkey","agree"
"does-it-lay-eggs:elephant","agree"
"does-it-lay-eggs:lion","agree"
"does-it-lay-eggs:penguin","agree"
"does-it-lay-eggs:swan","agree"
"does-it-like-mud:penguin","agree"
"does-it-like-mud:pig","agree"
"does-it-live-in-a-coop:camel","agree"
"does-it-live-in-a-coop:chicken","agree"
"does-it-live-in-africa:apple","agree"
"does-it-live-in-africa:bike","agree"
"does-it-live-in-africa:carrot","ambiguous"
"does-it-live-in-africa:elephant","agree"
"does-it-live-in-africa:giraffe","agree"
"does-it-live-in-africa:jacket","agree"
"does-it-live-in-africa:tiger","ambiguous"
"does-it-live-in-africa:zebra","agree"
"does-it-live-in-grass:giraffe","ambiguous"
"does-it-live-in-grass:grasshopper","agree"
"does-it-live-in-india:pig","ambiguous"
"does-it-live-in-india:tiger","agree"
"does-it-live-in-jungles:lion","ambiguous"
"does-it-live-in-jungles:zebra","ambiguous"
"does-it-live-in-swamps:alligator","ambiguous"
"does-it-live-in-swamps:carrot","agree"
"does-it-live-in-the-arctic:penguin","ambiguous"
"does-it-live-in-the-arctic:train","agree"
"does-it-live-in-the-desert:alligator","agree"
"does-it-live-in-the-desert:camel","agree"
"does-it-live-in-water:alligator","agree"
"does-it-live-in-water:zebra","agree"
"does-it-live-in-zoos:deer","ambiguous"
"does-it-live-in-zoos:elephant","agree"
"does-it-live-in-zoos:giraffe","agree"
"does-it-live-in-zoos:mouse","ambiguous"
"does-it-live-in-zoos:rabbit","ambiguous"
"does-it-live-in-zoos:tiger","ambiguous"
"does-it-live-on-a-farm:camel","agree"
"does-it-live-on-a-farm:chicken","agree"
"does-it-live-on-farms:elephant","agree"
"does-it-live-on-farms:pig","agree"
"does-it-live-on-water:mouse","agree"
"does-it-live-on-water:swan","agree"
"does-it-make-noises:donkey","agree"
"does-it-make-noises:rabbit","agree"
"does-it-produce-offspring:raccoon","agree"
"does-it-produce-offspring:train","agree"
"does-it-require-a-conductor:grasshopper","agree"
"does-it-require-a-conductor:train","ambiguous"
"does-it-roar:lion","agree"
"does-it-roar:rabbit","agree"
"does-it-run-fast:toad","agree"
"does-it-run-fast:zebra","agree"
"does-it-spit:camel","agree"
"does-it-spit:raccoon","ambiguous"
"does-it-taste-good:banana","agree"
"does-it-taste-good:grasshopper","agree"
"does-it-taste-good:strawberry","agree"
"does-it-taste-good:toad","agree"
"does-it-taste-sweet:strawberry","agree"
"does-it-taste-sweet:tiger","agree"
"does-it-travel-in-herds:swan","ambiguous"
"does-it-travel-in-herds:zebra","agree"
"does-it-waddle:lion","agree"
"does-it-waddle:penguin","agree"
"is-is-used-for-riding:bike","agree"
"is-is-used-for-riding:strawberry","agree"
"is-it-a-bird:camel","agree"
"is-it-a-bird:penguin","agree"
"is-it-a-bird:pig","agree"
"is-it-a-bird:swan","agree"
"is-it-a-carnivore:bottle","agree"
"is-it-a-carnivore:lion","agree"
"is-it-a-carnivore:pineapple","agree"
"is-it-a-carnivore:tiger","agree"
"is-it-a-container:banana","agree"
"is-it-a-container:bottle","agree"
"is-it-a-fruit:apple","agree"
"is-it-a-fruit:banana","agree"
"is-it-a-fruit:chair","agree"
"is-it-a-fruit:mouse","agree"
"is-it-a-fruit:rabbit","agree"
"is-it-a-fruit:strawberry","agree"
"is-it-a-fruit:train","agree"
"is-it-a-mammal:alligator","ambiguous"
"is-it-a-mammal:bike","agree"
"is-it-a-mammal:camel","agree"
"is-it-a-mammal:chicken","agree"
"is-it-a-mammal:deer","agree"
"is-it-a-mammal:donkey","agree"
"is-it-a-mammal:giraffe","agree"
"is-it-a-mammal:lion","agree"
"is-it-a-mammal:table","agree"
"is-it-a-pet:alligator","agree"
"is-it-a-pet:dog","agree"
"is-it-a-pet:pineapple","agree"
"is-it-a-pet:rabbit","ambiguous"
"is-it-a-reptile:alligator","agree"
"is-it-a-reptile:elephant","agree"
"is-it-a-rodent:elephant","agree"
"is-it-a-rodent:mouse","agree"
"is-it-a-root:carrot","agree"
"is-it-a-root:chair","agree"
"is-it-a-vegetable:carrot","agree"
"is-it-a-vegetable:jacket","agree"
"is-it-an-amphibian:bottle","agree"
"is-it-an-amphibian:toad","agree"
"is-it-an-animal:alligator","agree"
"is-it-an-animal:apple","agree"
"is-it-an-animal:bottle","agree"
"is-it-an-animal:carrot","agree"
"is-it-an-animal:chair","agree"
"is-it-an-animal:dog","agree"
"is-it-an-animal:donkey","agree"
"is-it-an-animal:elephant","agree"
"is-it-an-animal:jacket","agree"
"is-it-an-animal:lion","agree"
"is-it-an-animal:mouse","agree"
"is-it-an-animal:pig","agree"
"is-it-an-animal:pineapple","agree"
"is-it-an-animal:table","ambiguous"
"is-it-an-animal:tiger","agree"
"is-it-an-animal:zebra","agree"
"is-it-an-herbivore:deer","ambiguous"
"is-it-an-herbivore:penguin","agree"
"is-it-an-insect:giraffe","agree"
"is-it-an-insect:grasshopper","agree"
"is-it-an-insect:strawberry","agree"
"is-it-beige:camel","agree"
"is-it-beige:elephant","agree"
"is-it-black:apple","agree"
"is-it-black:penguin","agree"
"is-it-black:raccoon","ambiguous"
"is-it-black:tiger","agree"
"is-it-breakable:bottle","agree"
"is-it-breakable:penguin","agree"
"is-it-brown:camel","agree"
"is-it-brown:carrot","agree"
"is-it-brown:giraffe","ambiguous"
"is-it-brown:tiger","agree"
"is-it-clothing:jacket","agree"
"is-it-clothing:pineapple","agree"
"is-it-comfortable:chair","ambiguous"
"is-it-comfortable:chicken","ambiguous"
"is-it-eaten-as-bacon:dog","agree"
"is-it-eaten-as-bacon:pig","agree"
"is-it-eaten-by-frying:chicken","agree"
"is-it-eaten-by-frying:giraffe","agree"
"is-it-eaten-by-rabbits:carrot","agree"
"is-it-eaten-by-rabbits:zebra","agree"
"is-it-eaten-in-pies:apple","agree"
"is-it-eaten-in-pies:dog","agree"
"is-it-edible:rabbit","agree"
"is-it-fast:apple","agree"
"is-it-fast:banana","agree"
"is-it-fast:bike","ambiguous"
"is-it-fast:deer","agree"
"is-it-flat:rabbit","agree"
"is-it-flat:table","agree"
"is-it-found-at-tables:bike","agree"
"is-it-found-at-tables:chair","agree"
"is-it-found-in-dining-rooms:swan","agree"
"is-it-found-in-dining-rooms:table","agree"
"is-it-found-in-kitchens:lion","agree"
"is-it-found-in-kitchens:table","agree"
"is-it-found-in-summer:alligator","agree"
"is-it-found-in-summer:grasshopper","agree"
"is-it-furniture:chair","agree"
"is-it-furniture:donkey","agree"
"is-it-furniture:strawberry","agree"
"is-it-furniture:table","agree"
"is-it-furry:donkey","agree"
"is-it-furry:elephant","agree"
"is-it-furry:raccoon","agree"
"is-it-furry:toad","agree"
"is-it-graceful:camel","agree"
"is-it-graceful:swan","agree"
"is-it-green:alligator","ambiguous"
"is-it-green:apple",NA
"is-it-green:deer","agree"
"is-it-green:giraffe","agree"
"is-it-green:grasshopper","agree"
"is-it-green:jacket",NA
"is-it-green:toad","agree"
"is-it-green:train","agree"
"is-it-grey:alligator","agree"
"is-it-grey:elephant","agree"
"is-it-grey:lion","agree"
"is-it-grey:mouse","agree"
"is-it-healthy:banana","ambiguous"
"is-it-healthy:table","agree"
"is-it-hunted-by-people:deer","agree"
"is-it-hunted-by-people:giraffe","agree"
"is-it-hunted-by-people:grasshopper","ambiguous"
"is-it-hunted-by-people:mouse","ambiguous"
"is-it-hunted-by-people:rabbit","ambiguous"
"is-it-juicy:bottle","ambiguous"
"is-it-juicy:pineapple","agree"
"is-it-large:camel","agree"
"is-it-large:mouse","agree"
"is-it-like-a-horse:donkey","agree"
"is-it-like-a-horse:penguin","agree"
"is-it-long:alligator","agree"
"is-it-long:banana","agree"
"is-it-long:carrot","ambiguous"
"is-it-long:chair","agree"
"is-it-long:grasshopper","ambiguous"
"is-it-long:penguin","agree"
"is-it-loud:deer","agree"
"is-it-loud:train","agree"
"is-it-made-of-glass:bottle","ambiguous"
"is-it-made-of-glass:pig","agree"
"is-it-made-of-metal:alligator","agree"
"is-it-made-of-metal:bike","ambiguous"
"is-it-made-of-metal:rabbit","agree"
"is-it-made-of-metal:train","agree"
"is-it-made-of-plastic:bike","agree"
"is-it-made-of-plastic:bottle","agree"
"is-it-made-of-wood:chair","agree"
"is-it-made-of-wood:elephant","agree"
"is-it-made-of-wood:grasshopper","agree"
"is-it-made-of-wood:swan","agree"
"is-it-made-of-wood:table","agree"
"is-it-muddy:giraffe","agree"
"is-it-muddy:pig","ambiguous"
"is-it-nocturnal:bike","agree"
"is-it-nocturnal:raccoon","ambiguous"
"is-it-nutritious:apple","agree"
"is-it-nutritious:chair","agree"
"is-it-orange:carrot","agree"
"is-it-orange:chair","ambiguous"
"is-it-orange:chicken","agree"
"is-it-orange:tiger","agree"
"is-it-pink:dog","agree"
"is-it-pink:pig","agree"
"is-it-prickly:dog","agree"
"is-it-prickly:pineapple","ambiguous"
"is-it-red:apple","ambiguous"
"is-it-red:penguin","agree"
"is-it-red:strawberry","agree"
"is-it-red:zebra","agree"
"is-it-round:alligator","agree"
"is-it-round:apple","agree"
"is-it-round:donkey","agree"
"is-it-round:table","ambiguous"
"is-it-small:alligator","agree"
"is-it-small:donkey","agree"
"is-it-small:strawberry","agree"
"is-it-small:toad","agree"
"is-it-smelly:deer","ambiguous"
"is-it-smelly:pig","agree"
"is-it-tall:giraffe","agree"
"is-it-tall:jacket","agree"
"is-it-timid:apple","agree"
"is-it-timid:deer","agree"
"is-it-tropical:pig","agree"
"is-it-tropical:pineapple","agree"
"is-it-unable-to-fly:grasshopper","ambiguous"
"is-it-unable-to-fly:penguin","agree"
"is-it-used-by-riding:camel","agree"
"is-it-used-by-riding:swan","agree"
"is-it-used-for-cider:apple","agree"
"is-it-used-for-cider:deer","agree"
"is-it-used-for-eating-on:table","agree"
"is-it-used-for-eating-on:zebra","agree"
"is-it-used-for-freight:alligator","agree"
"is-it-used-for-freight:train","agree"
"is-it-used-for-holding-beer:bottle","agree"
"is-it-used-for-holding-beer:raccoon","agree"
"is-it-used-for-holding-liquids:bottle","agree"
"is-it-used-for-holding-liquids:chicken","agree"
"is-it-used-for-holding-things:bottle","agree"
"is-it-used-for-holding-things:carrot","agree"
"is-it-used-for-making-jam:chicken","agree"
"is-it-used-for-making-jam:rabbit","agree"
"is-it-used-for-making-jam:strawberry","agree"
"is-it-used-for-protection:dog","ambiguous"
"is-it-used-for-protection:raccoon","agree"
"is-it-used-for-racing:bike","ambiguous"
"is-it-used-for-racing:pineapple","agree"
"is-it-used-for-relaxing:chair","agree"
"is-it-used-for-relaxing:tiger","agree"
"is-it-used-for-sitting-on:chair","agree"
"is-it-used-for-sitting-on:tiger","agree"
"is-it-used-for-transportation:mouse","agree"
"is-it-used-for-transportation:train","agree"
"is-it-used-in-circuses:chair","ambiguous"
"is-it-used-in-circuses:elephant","agree"
"is-it-used-in-experiments:apple","ambiguous"
"is-it-used-in-experiments:mouse","agree"
"is-it-worn-for-the-rain:chicken","agree"
"is-it-worn-for-the-rain:jacket","agree"
"is-it-worn-in-cold-temperatures:banana","agree"
"is-it-worn-in-cold-temperatures:jacket","agree"
"is-it-worn-in-winter:jacket","ambiguous"
"is-it-worn-in-winter:tiger","agree"
"is-it-yellow-inside:lion","agree"
"is-it-yellow-inside:pineapple","agree"
"is-it-yellow-inside:tiger","agree"
"is-it-yellow:banana","agree"
"is-it-yellow:chicken","ambiguous"
"is-it-yellow:deer","agree"
"is-it-yellow:pineapple","ambiguous"
